 1.000000  0.000000
 0.964145  0.003805
 0.928349  0.006984
 0.892665  0.010215
 0.857145  0.013896
 0.821834  0.018201
 0.786773  0.023142
 0.751997  0.028611
 0.717542  0.034428
 0.683440  0.040378
 0.649728  0.046234
 0.616443  0.051787
 0.583627  0.056854
 0.551328  0.061289
 0.519598  0.064990
 0.488493  0.067893
 0.458076  0.069977
 0.428410  0.071250
 0.399560  0.071752
 0.371591  0.071541
 0.344565  0.070694
 0.318542  0.069292
 0.293575  0.067425
 0.269709  0.065180
 0.246982  0.062640
 0.225424  0.059884
 0.205054  0.056982
 0.185882  0.053996
 0.167909  0.050977
 0.151126  0.047968
 0.135516  0.045006
 0.121055  0.042117
 0.107711  0.039321
 0.095446  0.036632
 0.084216  0.034060
 0.073976  0.031609
 0.064676  0.029281
 0.056262  0.027075
 0.048683  0.024988
 0.041884  0.023014
 0.035812  0.021150
 0.030413  0.019388
 0.025636  0.017722
 0.021430  0.016147
 0.017749  0.014656
 0.014544  0.013243
 0.011775  0.011902
 0.009398  0.010629
 0.007376  0.009419
 0.005673  0.008268
 0.004255  0.007171
 0.003093  0.006124
 0.002157  0.005126
 0.001422  0.004173
 0.000864  0.003262
 0.000461  0.002391
 0.000195  0.001559
 0.000046  0.000762
 0.000000  0.000000
 0.000046 -0.000762
 0.000195 -0.001559
 0.000461 -0.002391
 0.000864 -0.003262
 0.001422 -0.004173
 0.002157 -0.005126
 0.003093 -0.006124
 0.004255 -0.007171
 0.005673 -0.008268
 0.007376 -0.009419
 0.009398 -0.010629
 0.011775 -0.011902
 0.014544 -0.013243
 0.017749 -0.014656
 0.021430 -0.016147
 0.025636 -0.017722
 0.030413 -0.019388
 0.035812 -0.021150
 0.041884 -0.023014
 0.048683 -0.024988
 0.056262 -0.027075
 0.064676 -0.029281
 0.073976 -0.031609
 0.084216 -0.034060
 0.095446 -0.036632
 0.107711 -0.039321
 0.121055 -0.042117
 0.135516 -0.045006
 0.151126 -0.047968
 0.167909 -0.050977
 0.185882 -0.053996
 0.205054 -0.056982
 0.225424 -0.059884
 0.246982 -0.062640
 0.269709 -0.065180
 0.293575 -0.067425
 0.318542 -0.069292
 0.344565 -0.070694
 0.371591 -0.071541
 0.399560 -0.071752
 0.428410 -0.071250
 0.458076 -0.069977
 0.488493 -0.067893
 0.519598 -0.064990
 0.551328 -0.061289
 0.583627 -0.056854
 0.616443 -0.051787
 0.649728 -0.046234
 0.683440 -0.040378
 0.717542 -0.034428
 0.751997 -0.028611
 0.786773 -0.023142
 0.821834 -0.018201
 0.857145 -0.013896
 0.892665 -0.010215
 0.928349 -0.006984
 0.964145 -0.003805
 1.000000 -0.000000
